"outcome","pleiotropy","IV_strength","effect","overlap","r2","number_of_SNPs","xQTL_from_one_sample","Multivariable","Multivariable_tdist","MultivariableLD","MultivariableLD_tdist","IVW_Cauchy_cauchy","IVW_tdist_Cauchy_cauchy","IVW_HMP","IVW_tdist_HMP","IVW_Modality1","IVW_tdist_Modality1","IVW_Modality2","IVW_tdist_Modality2","IVW_Modality3","IVW_tdist_Modality3","IVW_MinP","IVW_tdist_MinP","IVW_Fisher_chisq","IVW_tdist_Fisher_chisq","WGLR_Cauchy_cauchy","WGLR_tdist_Cauchy_cauchy","WGLR_HMP","WGLR_tdist_HMP","WGLR_Modality1","WGLR_tdist_Modality1","WGLR_Modality2","WGLR_tdist_Modality2","WGLR_Modality3","WGLR_tdist_Modality3","WGLR_MinP","WGLR_tdist_MinP","WGLR_Fisher_chisq","WGLR_tdist_Fisher_chisq","WGLR_Fisher_gamma","WGLR_tdist_Fisher_gamma","GSMR_Cauchy_cauchy","GSMR_HMP","GSMR_Modality1","GSMR_Modality2","GSMR_Modality3","GSMR_MinP","GSMR_Fisher_chisq","SMR_allSNPs_Cauchy_cauchy","SMR_allSNPs_HMP","SMR_allSNPs_MinP","SMR_allSNPs_Fisher_chisq","SMR_singleSNP_Cauchy_cauchy","SMR_singleSNP_HMP","SMR_Modality1","SMR_Modality2","SMR_Modality3","SMR_singleSNP_Fisher_chisq","Multivariable_beta1_mean","Multivariable_beta2_mean","Multivariable_beta3_mean","MultivariableLD_beta1_mean","MultivariableLD_beta2_mean","MultivariableLD_beta3_mean","IVW_beta1_mean","IVW_beta2_mean","IVW_beta3_mean","WGLR_beta1_mean","WGLR_beta2_mean","WGLR_beta3_mean","OLS_beta1_mean","OLS_beta2_mean","OLS_beta3_mean","F_1_mean","R2_1_mean","F_2_mean","R2_2_mean","F_3_mean","R2_3_mean","Multivariable_beta1_sd","Multivariable_beta2_sd","Multivariable_beta3_sd","MultivariableLD_beta1_sd","MultivariableLD_beta2_sd","MultivariableLD_beta3_sd","IVW_beta1_sd","IVW_beta2_sd","IVW_beta3_sd","WGLR_beta1_sd","WGLR_beta2_sd","WGLR_beta3_sd","OLS_beta1_sd","OLS_beta2_sd","OLS_beta3_sd","F_1_sd","R2_1_sd","F_2_sd","R2_2_sd","F_3_sd","R2_3_sd"
"binary_use_control_in_xQTL","vertical",0.5,0.1,0.5,0.01,5,TRUE,0.0608,0,0.0396,0,0.1035,0.02,0.0911,0.0121,0.09,0.0189,0.0964,0.0215,0.0998,0.0217,0.1354,0.0312,0.1838,0.0892,0.0598,0.0061,0.0509,0.0035,0.0527,0.007,0.0572,0.0078,0.0611,0.0086,0.0899,0.0137,0.1217,0.0485,0.0586,0.0079,0.0239,0.0183,0.0208,0.0276,0.0276,0.0445,0.0803,2e-04,1e-04,0.0113,0.0032,8e-04,4e-04,0.0011,0.0013,0.0011,0.0113,-0.00957937464920016,-0.00956650632656858,0.0433444799148978,-0.00725225342252887,-0.00915751795024402,0.0413938927145445,-0.102807985760466,-0.0587446440432398,0.0586769796689693,-0.0873537239767186,-0.051333978062956,0.0511771244189279,0,0,0,1.93877787617328,0.0377772189094523,2.21742199892885,0.0429463508062771,2.20861452250771,0.0427946732339895,2.20875673775882,1.95806514291321,1.17015991684891,2.20093659229313,1.95267036512512,1.1668915834304,0.425479725017497,0.227763178907563,0.221556091787076,0.409330916754442,0.21865198041553,0.213491982071915,0,0,0,1.08809318492823,0.0202378345140036,1.19962836790797,0.0220321578214827,1.18382215956708,0.0217411674706131
"binary_use_all_in_xQTL","vertical",0.5,0.1,0.5,0.01,5,TRUE,0.0695,0,0.0467,0,0.1265,0.0268,0.1127,0.0181,0.1212,0.0289,0.1224,0.0283,0.1163,0.0289,0.1515,0.0394,0.2178,0.1183,0.0754,0.0103,0.0648,0.0069,0.0746,0.0119,0.0705,0.0111,0.0662,0.0112,0.1003,0.0176,0.1486,0.0668,0.0733,0.0107,0.0472,0.0379,0.0453,0.046,0.046,0.0709,0.1296,2e-04,1e-04,0.0326,0.014,0.0043,0.0024,0.0038,0.0052,0.0045,0.0279,-0.272170336922416,-0.00415238194004632,-0.0644013853009826,-0.272188964055153,-0.00399532111913029,-0.0641602031696049,-0.160317485822789,-0.0775876358835682,0.0729226580157723,-0.164166511513972,-0.0786111568448037,0.0699145717650817,-0.111921041589001,-0.0472275230914738,0.0194479355366164,2.79700265445487,0.0273543728808452,3.40353191477116,0.0330803043890796,3.42132841979918,0.033246924522733,3.67204121597718,3.21717889064661,1.7276490638333,3.65693968514028,3.20271906399205,1.7228557934929,0.448902117937186,0.23132101172193,0.233699708786953,0.434182491946889,0.224584946600145,0.227393394801469,0.0131813509801917,0.00829182469903544,0.00891294349798773,1.37375586764039,0.0130193313818733,1.55436224018413,0.0145498147616107,1.5612741235292,0.0145981684041387
"continuous","horizontal",1,0.1,0.5,0.01,5,TRUE,0.1345,0,0.0863,0,0.2147,0.0428,0.1987,0.0301,0.2326,0.0798,0.1281,0.0303,0.1517,0.0374,0.2861,0.0972,0.2874,0.1442,0.1324,0.0126,0.1199,0.0072,0.157,0.0356,0.0779,0.0112,0.0927,0.014,0.2178,0.0461,0.1932,0.0636,0.1257,0.0179,0.1093,0.0951,0.1627,0.0696,0.0696,0.1985,0.1814,0.0051,0.004,0.1621,0.0348,0.0086,0.007,0.0235,0.0126,4e-04,0.0294,0.204007505993366,0.13636953932051,-0.0465528202091786,0.204630188620934,0.135880086794019,-0.0458346480031775,0.123805050342246,-0.16801259385603,0.164542581855031,0.127340250709351,-0.139322526751583,0.14596203635737,0.474068704840716,-0.394223304067444,-0.379914665332634,8.23069839551972,0.0763695209338539,3.00285864425359,0.029311077183345,4.43264077554575,0.0426522420854771,0.740687099686742,0.955308824471298,0.699651657950996,0.740449311948025,0.955037851046557,0.699638965515989,0.157587856221189,0.29796898883534,0.244387085652322,0.156190738449737,0.287375738693608,0.234936931835032,0.0363058393726286,0.0389172377450699,0.0389300784976526,2.58151645523169,0.0220241345041294,1.41520099241878,0.0133640886158052,1.79418001361817,0.0164693024172432
"binary_use_control_in_xQTL","horizontal",1,0.1,0.5,0.01,5,TRUE,0.0841,0,0.0543,0,0.1299,0.0152,0.1211,0.009,0.1333,0.0354,0.0672,0.0117,0.1119,0.0278,0.1991,0.055,0.1837,0.0685,0.0726,0.0028,0.0673,0.0016,0.0776,0.0102,0.043,0.0052,0.0705,0.013,0.1434,0.0247,0.1074,0.0238,0.0681,0.0056,0.0373,0.032,0.0651,0.039,0.039,0.0989,0.0735,1e-04,1e-04,0.0526,0.0026,0.0012,9e-04,0.0077,0.0023,2e-04,0.0075,0.0760182945741365,0.0294827509530188,0.0777846146331773,0.0757186174930258,0.0296508741754188,0.0775844689435644,0.104045732718523,-0.087781726975511,0.146937599990914,0.0984093054317944,-0.0604478415345676,0.135022243195285,0,0,0,4.70865419359559,0.0868367994935093,2.02191211730665,0.0393216620248434,2.83373603299391,0.0541736333827438,0.745911926469484,0.955529078799768,0.740326939671008,0.745175338009611,0.955486410713192,0.739700435407931,0.239187226956436,0.410506798790683,0.334253970601364,0.234044756497238,0.395023397297085,0.321955452794545,0,0,0,1.93073068486443,0.0322289200791907,1.12778142835272,0.0208608623596479,1.43010197022754,0.0255825983546506
"binary_use_all_in_xQTL","horizontal",1,0.1,0.5,0.01,5,TRUE,0.0871,0,0.0561,0,0.1432,0.0243,0.1309,0.0144,0.1511,0.0456,0.0925,0.0199,0.1106,0.0256,0.2025,0.0599,0.2065,0.095,0.0863,0.0051,0.0765,0.0027,0.0938,0.0163,0.0582,0.0078,0.0651,0.0097,0.147,0.0265,0.1272,0.0392,0.0818,0.0092,0.0646,0.0564,0.0973,0.0474,0.0474,0.1294,0.1169,0.0011,8e-04,0.118,0.015,0.0064,0.0047,0.0201,0.0078,4e-04,0.0241,0.17940384837816,0.105316422269004,-0.0377106912993224,0.179953716524321,0.104898511017624,-0.0371053161738799,0.111647517992783,-0.154485248738496,0.151088046547654,0.114872741043025,-0.128460646395979,0.134408030185155,0.102747658804594,-0.0863810621769582,-0.0835145189512345,8.10180011745656,0.0752722191227694,2.96793216280766,0.0289733930708132,4.28188871435668,0.0412565208446799,1.06395838754583,1.37697089494684,1.0602629180936,1.06386753641893,1.3768734527918,1.0602273884212,0.23009422532002,0.443163199832102,0.350850500348806,0.227367390360069,0.427517367942446,0.338519289920655,0.0130333276298772,0.0141423588456224,0.0140597024347652,2.5364207646135,0.0217239418581121,1.43306668397694,0.0135206178484887,1.77912419178047,0.0163567306000558
"continuous","vertical",1,0.1,0.5,0.01,5,TRUE,0.1695,0,0.1122,0,0.2901,0.1138,0.2686,0.0868,0.2912,0.1191,0.2857,0.1135,0.2778,0.1077,0.3086,0.1293,0.4146,0.2877,0.1987,0.0532,0.1804,0.0371,0.2048,0.0583,0.1961,0.0529,0.1806,0.0488,0.2243,0.067,0.3213,0.1956,0.1969,0.0546,0.2069,0.1851,0.2082,0.1935,0.1935,0.2303,0.3421,0.0297,0.0236,0.2159,0.1828,0.0449,0.0347,0.0404,0.0476,0.0447,0.1348,-0.371469011583979,0.00137358463298833,-0.0851810842251172,-0.371513207761802,0.00133511495254273,-0.0850660694203904,-0.203185350675583,-0.100869158932066,0.0995044889591686,-0.206059770164225,-0.101449573203412,0.0985471965979719,-0.573298104095283,-0.237327189968821,0.100674763025775,8.23069839551972,0.0763695209338539,10.6249610250363,0.0964351563706258,10.6184312138138,0.0963863560252022,2.64274462417682,2.31222389707706,1.37805853659496,2.64082397758809,2.30992928192655,1.37680064802808,0.202605562510414,0.102893725373873,0.104639332968641,0.199909128456205,0.101935154115194,0.103796931237129,0.0473031019380281,0.0288773001669245,0.0305510885952838,2.58151645523169,0.0220241345041294,2.98080212142949,0.0243589466219446,2.96802319741222,0.0242740928958403
"binary_use_control_in_xQTL","vertical",1,0.1,0.5,0.01,5,TRUE,0.0987,0,0.0633,0,0.175,0.0471,0.1588,0.0337,0.1665,0.0462,0.1726,0.0487,0.1741,0.0495,0.2004,0.0601,0.2835,0.1709,0.1029,0.0177,0.0894,0.0118,0.0964,0.0172,0.1001,0.0187,0.102,0.0198,0.1268,0.0255,0.1931,0.0977,0.1008,0.0183,0.0888,0.0749,0.0809,0.0938,0.0938,0.1147,0.1965,0.0022,0.0015,0.0825,0.0582,0.0118,0.0075,0.008,0.0136,0.014,0.0648,-0.025200110360351,-0.0108640706170168,0.0512214439681114,-0.024524715405704,-0.0106374325322692,0.0502531684237321,-0.146419313047702,-0.0744288253270284,0.0738526819899515,-0.136805566126657,-0.070715298861312,0.0702165348598951,0,0,0,4.70734110410745,0.0868232613419525,5.8594896787594,0.10580526983101,5.81933041730395,0.105181608598584,2.31596217601249,2.02702599244969,1.19088346303061,2.31406653194603,2.02570974436356,1.1896389762001,0.243277380900974,0.120816894188245,0.11985683028668,0.237894577580703,0.118586345264333,0.11777724350701,0,0,0,1.92139150516761,0.0321352218411808,2.18302737029014,0.0349773069834512,2.15520980349431,0.0345727836902951
"binary_use_all_in_xQTL","vertical",1,0.1,0.5,0.01,5,TRUE,0.1061,0,0.0685,0,0.1943,0.0563,0.1779,0.0418,0.1942,0.0584,0.1929,0.0571,0.1862,0.0547,0.2136,0.066,0.3116,0.1922,0.1172,0.0227,0.1029,0.0154,0.1193,0.0242,0.1146,0.0235,0.11,0.0218,0.1364,0.0282,0.2188,0.1146,0.116,0.0234,0.1204,0.1046,0.1203,0.1176,0.1176,0.1417,0.2353,0.0124,0.0085,0.1552,0.1153,0.0277,0.0218,0.0234,0.0296,0.0292,0.1022,-0.27127421159551,-0.0168417577247519,-0.0786620204756859,-0.271087458208336,-0.0170080887743812,-0.0787917306242762,-0.155199186554202,-0.0776061188596762,0.0767679188712981,-0.156530503823988,-0.0777584554109057,0.0756765852989061,-0.108495402260653,-0.0455648031355915,0.0195351443119243,8.09886792267754,0.0752295029968131,10.5236185934737,0.0955935206107629,10.5886935494554,0.0961286418131165,3.27983390591663,2.80352625382935,1.60033005096972,3.27815604746642,2.80242932533549,1.59962921324674,0.232590497316084,0.117240179117146,0.118280858005433,0.229580556656285,0.116080334043376,0.117158003513712,0.012863895645769,0.00798997293733339,0.00861806256248881,2.57894497061728,0.0220851092855827,2.98730015906223,0.0244533534019983,2.99659758638033,0.0244840452283088
"continuous","horizontal",2,0.1,0.5,0.01,5,TRUE,0.3419,1e-04,0.2544,0,0.464,0.1838,0.4438,0.1421,0.4645,0.2389,0.1968,0.0567,0.4583,0.2134,0.5442,0.2917,0.5525,0.3821,0.3466,0.0745,0.3271,0.0515,0.35,0.1324,0.0999,0.02,0.3429,0.1225,0.4511,0.1881,0.4353,0.2314,0.3318,0.0894,0.3756,0.3548,0.4039,0.386,0.386,0.4825,0.4806,0.116,0.1,0.4822,0.3186,0.0415,0.0342,0.0613,0.0496,0.0048,0.105,0.220818166785247,0.203488039318183,-0.0309993654480432,0.221020743100164,0.203265952963889,-0.0307595435532372,0.121070033770801,-0.170141034637403,0.192239134176403,0.122027990147695,-0.129105615435441,0.186607539381534,0.41459285109938,-0.377501279553225,-0.327425592427689,29.9273816234007,0.231095992485958,8.97883704836408,0.0827486025748718,14.7448644244226,0.129001205923458,0.673339778171736,0.732658963187242,0.664345161228009,0.673257670413159,0.73261657025745,0.664305590000327,0.0788481827088097,0.159675045196379,0.126144412071755,0.078809848586733,0.154777619513339,0.122449859108893,0.0336595420670183,0.038105934468537,0.0378591843222255,5.50685333943133,0.0325694408627782,2.67377557810197,0.0225638482621881,3.58317554779103,0.0272220430890645
"binary_use_control_in_xQTL","horizontal",2,0.1,0.5,0.01,5,TRUE,0.162,0,0.1078,0,0.2505,0.0608,0.2348,0.044,0.2463,0.0905,0.1113,0.025,0.2467,0.0855,0.3231,0.1267,0.3294,0.1797,0.1607,0.0165,0.1464,0.0101,0.1561,0.0376,0.0611,0.0087,0.1642,0.0427,0.2458,0.0675,0.2257,0.0847,0.152,0.0247,0.1552,0.1415,0.1797,0.1675,0.1675,0.2485,0.2361,0.0118,0.0083,0.2427,0.0863,0.0162,0.0126,0.0331,0.0195,0.0021,0.0603,0.0806800323567802,0.067424152415098,0.0881457795712292,0.0805863532930593,0.0674656175280757,0.0880864042992298,0.108372157858177,-0.133435808488553,0.170634522224853,0.106627962709562,-0.0935014203092774,0.165707143669975,0,0,0,15.7899497091038,0.241567376351788,5.05967121491029,0.092707419547308,8.27448817531783,0.143058308256227,0.731430729277989,0.828331433543601,0.725366311453097,0.731403218924036,0.828244269365194,0.725352456717893,0.120453432619588,0.23667839255242,0.174167098135449,0.119593995284248,0.226983714160448,0.168586989888931,0,0,0,4.03919638876552,0.0465143955003457,2.01089201400053,0.0331119194771008,2.73511134312284,0.0401361862152885
"binary_use_all_in_xQTL","horizontal",2,0.1,0.5,0.01,5,TRUE,0.164,0,0.1086,0,0.2562,0.0701,0.2384,0.0514,0.2598,0.0977,0.1354,0.0362,0.2441,0.084,0.3225,0.1272,0.3439,0.2029,0.1666,0.0217,0.1519,0.0135,0.1742,0.0453,0.0754,0.0134,0.1624,0.0383,0.2447,0.0681,0.2405,0.1016,0.1605,0.0324,0.1784,0.1626,0.2021,0.1799,0.1799,0.2609,0.2623,0.0404,0.0331,0.2925,0.1498,0.0294,0.0241,0.0467,0.0371,0.0043,0.0893,0.195898805612122,0.179823387272458,-0.0254604517722664,0.196042943598997,0.179694189651762,-0.0253212031298985,0.107431778261722,-0.152842174273338,0.173561770339845,0.108206062082157,-0.116672227020959,0.168373655861414,0.0897332705783041,-0.0825058809225617,-0.0719918157202761,29.6638406848651,0.229558419099429,8.89947950635354,0.0820655847367813,14.2749188101628,0.125392154944831,1.06923113161884,1.09655563537044,1.1068876416833,1.0692667107227,1.09662215264429,1.10693289712316,0.114738935396134,0.231768772538666,0.179305045364921,0.1142675069383,0.223655883363717,0.174069488413648,0.0120872539612761,0.0138538378187125,0.0135568594362247,5.41103279942375,0.0321944034498526,2.69276905574922,0.0226915258456813,3.54681416356646,0.0271545904747253
"continuous","vertical",2,0.1,0.5,0.01,5,TRUE,0.4641,0,0.34,0,0.6424,0.3931,0.6191,0.341,0.6497,0.3986,0.6409,0.3944,0.6309,0.3841,0.6561,0.4085,0.7569,0.6431,0.5251,0.2485,0.4975,0.1992,0.5335,0.2517,0.5249,0.248,0.5126,0.2392,0.547,0.2661,0.6752,0.5252,0.5245,0.2486,0.5686,0.5404,0.5746,0.5602,0.5602,0.586,0.7113,0.272,0.2389,0.5797,0.576,0.1827,0.1587,0.1778,0.1852,0.1844,0.327,-0.361902486554804,-0.00571357759725914,-0.0868954858878364,-0.361913602632317,-0.00573277971712937,-0.0868759604365886,-0.200960955969863,-0.100360956866666,0.10004933097552,-0.201720893605902,-0.100524462422843,0.0998164838172036,-0.510564427238267,-0.208710972950757,0.100547714008479,29.9273816234007,0.231095992485958,39.540945278593,0.284222590087074,39.5311308377703,0.2841850479746,2.61977449132805,2.28907944718126,1.35760487496567,2.61959786101282,2.28890369921788,1.35751891650162,0.101810714134843,0.0515860950579976,0.0523957025767587,0.101486352583875,0.0514850305571982,0.0523217029362725,0.0436709183757015,0.0258611646977488,0.0271450337596935,5.50685333943133,0.0325694408627782,6.57448547995343,0.033744795572604,6.54154908920655,0.0336317305065284
"binary_use_control_in_xQTL","vertical",2,0.1,0.5,0.01,5,TRUE,0.2441,0,0.1561,0,0.3867,0.1678,0.364,0.1328,0.3821,0.1647,0.3839,0.167,0.3852,0.1675,0.4042,0.1818,0.5215,0.3869,0.2672,0.0829,0.2452,0.062,0.2597,0.0795,0.2652,0.0839,0.2669,0.0832,0.2892,0.0934,0.4084,0.2663,0.2662,0.084,0.2995,0.2757,0.2926,0.3017,0.3017,0.3211,0.4488,0.0786,0.0602,0.3443,0.3215,0.082,0.0668,0.0766,0.0837,0.0849,0.1974,-0.0305528771765498,0.000873350261488671,0.0640109055689652,-0.0301329280686739,0.000986486772965024,0.0637577531338173,-0.156680004299985,-0.0781073913595865,0.0775594459998791,-0.153438688265336,-0.0768167928451647,0.0762903140973121,0,0,0,15.8412486460468,0.242193785433994,20.5189635755788,0.292821714857306,20.3540356666656,0.291134301042702,2.30656593921538,1.99571757585891,1.16580111437053,2.30616119473596,1.99541079056887,1.16550614424517,0.1233524485048,0.0610600106285197,0.0606153814563381,0.122436523647647,0.0606890694221493,0.0602554248137856,0,0,0,4.02368882053968,0.046293552615102,4.70293262417536,0.0471722502210686,4.69078160348912,0.0473184723216397
"binary_use_all_in_xQTL","vertical",2,0.1,0.5,0.01,5,TRUE,0.2505,0,0.1673,0,0.4014,0.1812,0.3792,0.1466,0.4038,0.1825,0.4006,0.1806,0.3931,0.1785,0.4128,0.1915,0.5335,0.4015,0.2865,0.0931,0.2637,0.0669,0.2893,0.0941,0.2855,0.0942,0.2787,0.09,0.3035,0.1025,0.4309,0.2862,0.2854,0.0936,0.3245,0.2998,0.3263,0.3187,0.3187,0.3387,0.4719,0.1254,0.1067,0.3888,0.3598,0.0987,0.0849,0.0964,0.0996,0.1,0.2137,-0.281870003685283,0.0200702972345424,-0.0443077061783573,-0.281906452968825,0.0201746570299536,-0.0443050434496092,-0.155592632145563,-0.0780574630503857,0.0781481551876917,-0.155719869960854,-0.0779656888763857,0.0777279386778694,-0.0973898953838207,-0.0404192735379809,0.0196520200736363,29.0877523545557,0.226048020818253,38.7419844322507,0.280058603688384,39.0080612854545,0.281431900622342,3.27992034206447,2.80179642241815,1.54371427065237,3.2796580203843,2.80156561672569,1.54359099811067,0.116932224241193,0.0590174887987273,0.0596255502479945,0.116506852302309,0.0588383403524216,0.0594331688652778,0.0116658489432714,0.00706722635583242,0.00762428385330235,5.46481921178427,0.0328126314409716,6.54907062433652,0.0340017664510924,6.60153053073093,0.0340833286947262
"continuous","horizontal",0.5,0,1,0.01,5,TRUE,0.0902,0,0.0706,0,0.141,0.0128,0.1329,0.0091,0.1107,0.0259,0.1185,0.0286,0.1112,0.0244,0.2387,0.0595,0.1879,0.0548,0.1081,0.0064,0.1002,0.0035,0.0765,0.013,0.1059,0.0189,0.0935,0.0143,0.208,0.038,0.1502,0.0342,0.0999,0.0102,0.0493,0.0415,0.0582,0.0496,0.0496,0.1218,0.0876,2e-04,1e-04,0.0468,0.0012,0.0029,0.0023,0.006,0.0044,0.0021,0.0092,0.189789233651852,-0.0795060267591277,-0.324591540288333,0.193185750506341,-0.0808512160839575,-0.321089951661188,0.0713162099043863,-0.282663414917859,-0.19014302735801,0.111996142627106,-0.30345209177288,-0.224652407386359,0.49133765569888,-0.497856769774564,-0.495902753703481,2.80765570239179,0.0274487345780503,1.49267401746772,0.0148048484671319,1.84700434004482,0.0182468276048408,0.617480071609371,0.833936683181924,0.619082574275778,0.616743617507728,0.833069498988409,0.618411681861372,0.311528757100987,0.445384991115182,0.397641970124577,0.298173933791542,0.425333566125989,0.379551559307175,0.038956114148907,0.0391386369440707,0.0391991685282221,1.40521577890709,0.0132794093779982,0.898964081961464,0.00874093104338829,1.04384802869019,0.0100763276208052
"binary_use_control_in_xQTL","horizontal",0.5,0,1,0.01,5,TRUE,0.0517,0,0.0362,0,0.0718,0.0038,0.0668,0.0017,0.0804,0.0121,0.0509,0.0055,0.0606,0.0095,0.1457,0.0231,0.1007,0.0218,0.0402,8e-04,0.0361,4e-04,0.0476,0.0038,0.0361,0.0027,0.0437,0.0049,0.1075,0.0102,0.0571,0.0083,0.0347,0.0015,0.0078,0.0059,0.0185,0.0128,0.0128,0.0366,0.0181,0,0,0.0075,0,1e-04,1e-04,8e-04,3e-04,0,0.0011,-0.00715664096623139,-0.00121544729816764,0.017466120313249,-0.00739783251482967,-0.00160883122698154,0.0174067587756648,-0.00465787239812774,0.00578567735357412,0.00649558020794376,-0.00515431064829182,0.00459273154078079,0.00730758470257661,0,0,0,1.94742570262699,0.0379413751506189,1.2711030187204,0.0251428820161709,1.45217420428724,0.0286034090023041,0.838550431015165,1.09624780872722,0.87449649636609,0.836676512533845,1.09576667821223,0.872642410982486,0.413908214404789,0.548694822510191,0.508377910463906,0.398802105327747,0.531094917110563,0.487880565485352,0,0,0,1.08886002551217,0.0202162199143748,0.797940252783932,0.0152593506747459,0.883225748454087,0.016753880011217
"binary_use_all_in_xQTL","horizontal",0.5,0,1,0.01,5,TRUE,0.0648,0,0.0458,0,0.1057,0.0078,0.0969,0.0057,0.1033,0.0193,0.0824,0.0148,0.0836,0.0153,0.1924,0.0392,0.1449,0.0381,0.0678,0.002,0.0621,9e-04,0.0615,0.0073,0.0665,0.0084,0.0598,0.0096,0.1463,0.0221,0.0948,0.0177,0.0592,0.0036,0.0254,0.0212,0.0401,0.0282,0.0282,0.0776,0.0506,0,0,0.0245,1e-04,3e-04,2e-04,0.0029,0.001,4e-04,0.0035,0.143886522449898,-0.0951284030095763,-0.255514875455707,0.146644358297825,-0.0966253641414356,-0.252653547020618,0.0663419228957196,-0.24254173125084,-0.151612018368962,0.101354288956495,-0.259138648823457,-0.181214169558467,0.104683361882283,-0.105931764508636,-0.105602197792996,2.72646433447198,0.0266857940803142,1.47994877570566,0.0146808464762848,1.83080948834993,0.0180865969327773,1.04056981804438,1.44069511507288,1.0434503099864,1.04154359970626,1.44854330021367,1.04266374228782,0.448067193987314,0.651676005331321,0.587954268453879,0.432236321059321,0.628497135839489,0.564642393933842,0.0133052506258675,0.0135125783009109,0.0135475055173717,1.34483460454805,0.0127564026677017,0.892749672846259,0.00868746232889022,1.05480516053479,0.010184819171212
"continuous","vertical",0.5,0,1,0.01,5,TRUE,0.0866,0,0.0668,0,0.1116,0.0223,0.0986,0.0152,0.106,0.0251,0.1027,0.0238,0.1011,0.0225,0.1441,0.0353,0.1966,0.097,0.0673,0.0081,0.0573,0.0031,0.0718,0.0107,0.0612,0.0089,0.0572,0.0074,0.0972,0.015,0.1319,0.0538,0.0596,0.0081,0.0441,0.0358,0.0536,0.0388,0.0388,0.0763,0.112,4e-04,4e-04,0.0359,0.0109,0.0036,0.0024,0.0045,0.0041,0.0043,0.0254,-0.647550248746119,-0.00802123494204651,-0.312538193297488,-0.650433321827764,-0.00772057270238847,-0.31015141697752,-0.0694004403997053,-0.0159598477878194,-0.000156726534704155,-0.109405871109714,-0.0273711971447967,-0.000269307518024204,-0.490997543905392,-0.162816989899167,0.000221889723076997,2.80765570239179,0.0274487345780503,3.39983623313032,0.0330450447926244,3.3993931720789,0.0330421380314773,2.71495359588488,2.16530091190802,1.33117055514757,2.70951384110641,2.15829673537699,1.32694660233465,0.387062866858374,0.203357578500492,0.204952465125328,0.371614757236028,0.197745191615947,0.199672282148469,0.0501324465431897,0.0304230502345641,0.0311597980725281,1.40521577890709,0.0132794093779982,1.55628297860019,0.014551488426929,1.55089718238346,0.0145169997618082
"binary_use_control_in_xQTL","vertical",0.5,0,1,0.01,5,TRUE,0.0543,0,0.0363,0,0.09,0.0143,0.0795,0.0088,0.08,0.0152,0.0871,0.0168,0.0859,0.0168,0.118,0.0257,0.1636,0.0782,0.0536,0.0048,0.0461,0.0028,0.0479,0.0052,0.0523,0.0063,0.0505,0.0058,0.078,0.0105,0.1092,0.0432,0.0518,0.006,0.0192,0.0142,0.0179,0.023,0.023,0.0374,0.0707,0,0,0.0092,0.0017,7e-04,2e-04,3e-04,9e-04,8e-04,0.0123,0.0147563638814652,-0.0110450657543674,-0.00279883218136846,0.016282177522174,-0.0117498342078995,-0.002836427403314,-0.00284760177043919,-0.00145072603602461,0.0011758915903628,-0.00288880760549473,-0.0014034273519222,0.00137021590570932,0,0,0,1.936264116984,0.0377327071862333,2.21698226047562,0.0429417482594252,2.20658790043485,0.0427438374991834,2.2703902287647,1.94727265590715,1.13704878746349,2.26538497092158,1.9429781854156,1.13390483748903,0.416784169841754,0.221164102918927,0.223149916588224,0.401598216907279,0.213384755977403,0.215823898851096,0,0,0,1.08469331792676,0.020154710093088,1.19550572038663,0.0219517539625875,1.19874755723177,0.022014925613992
"binary_use_all_in_xQTL","vertical",0.5,0,1,0.01,5,TRUE,0.0662,0,0.0466,0,0.1026,0.0182,0.0902,0.0124,0.0976,0.0191,0.0993,0.0205,0.0999,0.0206,0.1334,0.0286,0.1889,0.0926,0.0579,0.0065,0.0494,0.0033,0.0569,0.0073,0.055,0.0071,0.0548,0.008,0.0817,0.0118,0.122,0.0492,0.0543,0.0071,0.0364,0.0279,0.0362,0.0365,0.0365,0.06,0.1067,3e-04,0,0.0288,0.0112,0.0027,0.0016,0.0027,0.0038,0.0036,0.0223,-0.530876794560065,0.00611441980852787,-0.243914305580856,-0.53305446821855,0.0062237778955191,-0.242016735918781,-0.0597123099541229,-0.0151258986199807,0.000685931755653084,-0.0911845255030468,-0.0241597253818779,0.00110035571353831,-0.0939244382035423,-0.031503651791176,-0.000117384565750215,2.78763919428271,0.0272646494100519,3.41183424833603,0.0331589682104246,3.42270770143833,0.0332569441296479,3.06653021962859,2.64763402106989,1.54125575988885,3.06325188776861,2.64434161696915,1.53827418341383,0.449214129678571,0.230812217104955,0.23203910229019,0.431889305656851,0.223456254097889,0.224965347986958,0.0138331087755751,0.00872091162860866,0.00903949562774513,1.37458312626573,0.0130171720789009,1.55436911447957,0.0145419012643178,1.57179712735376,0.0146973039039528
