outcome,pleiotropy,IV_strength,effect,overlap,r2,number_of_SNPs,xQTL_from_one_sample,Multivariable,Multivariable_tdist,MultivariableLD,MultivariableLD_tdist,IVW_Cauchy_cauchy,IVW_tdist_Cauchy_cauchy,IVW_HMP,IVW_tdist_HMP,IVW_Modality1,IVW_tdist_Modality1,IVW_Modality2,IVW_tdist_Modality2,IVW_Modality3,IVW_tdist_Modality3,IVW_MinP,IVW_tdist_MinP,IVW_Fisher_chisq,IVW_tdist_Fisher_chisq,WGLR_Cauchy_cauchy,WGLR_tdist_Cauchy_cauchy,WGLR_HMP,WGLR_tdist_HMP,WGLR_Modality1,WGLR_tdist_Modality1,WGLR_Modality2,WGLR_tdist_Modality2,WGLR_Modality3,WGLR_tdist_Modality3,WGLR_MinP,WGLR_tdist_MinP,WGLR_Fisher_chisq,WGLR_tdist_Fisher_chisq,WGLR_Fisher_gamma,WGLR_tdist_Fisher_gamma,GSMR_Cauchy_cauchy,GSMR_HMP,GSMR_Modality1,GSMR_Modality2,GSMR_Modality3,GSMR_MinP,GSMR_Fisher_chisq,SMR_allSNPs_Cauchy_cauchy,SMR_allSNPs_HMP,SMR_allSNPs_MinP,SMR_allSNPs_Fisher_chisq,SMR_singleSNP_Cauchy_cauchy,SMR_singleSNP_HMP,SMR_Modality1,SMR_Modality2,SMR_Modality3,SMR_singleSNP_Fisher_chisq,Multivariable_beta1_mean,Multivariable_beta2_mean,Multivariable_beta3_mean,MultivariableLD_beta1_mean,MultivariableLD_beta2_mean,MultivariableLD_beta3_mean,IVW_beta1_mean,IVW_beta2_mean,IVW_beta3_mean,WGLR_beta1_mean,WGLR_beta2_mean,WGLR_beta3_mean,OLS_beta1_mean,OLS_beta2_mean,OLS_beta3_mean,F_1_mean,R2_1_mean,F_2_mean,R2_2_mean,F_3_mean,R2_3_mean,Multivariable_beta1_sd,Multivariable_beta2_sd,Multivariable_beta3_sd,MultivariableLD_beta1_sd,MultivariableLD_beta2_sd,MultivariableLD_beta3_sd,IVW_beta1_sd,IVW_beta2_sd,IVW_beta3_sd,WGLR_beta1_sd,WGLR_beta2_sd,WGLR_beta3_sd,OLS_beta1_sd,OLS_beta2_sd,OLS_beta3_sd,F_1_sd,R2_1_sd,F_2_sd,R2_2_sd,F_3_sd,R2_3_sd
binary_use_all_in_xQTL,horizontal,2,0.1,0,0.2,5,TRUE,0.4256,0.0024,0.1424,0,0.5816,0.3877,0.5625,0.3484,0.582,0.3952,0.5601,0.3608,0.584,0.3978,0.5989,0.411,0.6702,0.5788,0.2616,0.0631,0.2401,0.043,0.2567,0.08,0.1751,0.0428,0.2638,0.0793,0.3238,0.108,0.3809,0.2252,0.2548,0.0745,0.2746,0.2507,0.2858,0.2826,0.2826,0.3375,0.4048,0.2061,0.1757,0.4289,0.4554,0.1297,0.1144,0.1396,0.1184,0.1235,0.2511,0.093435163,0.072941887,0.074335083,0.093197977,0.073203892,0.074098665,0.107624652,-0.275180754,0.18630622,0.105798581,-0.216668963,0.179196749,0.078743487,-0.083168156,-0.063848277,58.19432778,0.363157629,12.35294766,0.108997276,23.03399167,0.184944916,0.760297644,0.907872513,0.801180862,0.760194813,0.907815265,0.800986105,0.08750879,0.252270017,0.154045485,0.085854881,0.220151645,0.145937094,0.012196141,0.0138445,0.014607509,17.34516733,0.068856205,5.522606064,0.043120228,8.797940177,0.057266009
binary_use_all_in_xQTL,vertical,2,0.1,0,0.2,5,TRUE,0.6235,0.008,0.2706,0,0.7588,0.6032,0.7463,0.5673,0.7582,0.6025,0.7582,0.6028,0.7585,0.6027,0.76,0.6048,0.8252,0.7595,0.4548,0.1894,0.4273,0.1466,0.4534,0.1887,0.4543,0.1901,0.4525,0.1885,0.4691,0.1997,0.6057,0.4557,0.4539,0.19,0.4935,0.4645,0.4927,0.4922,0.4922,0.5061,0.6385,0.4168,0.3778,0.6116,0.6677,0.3077,0.2781,0.3061,0.3081,0.3082,0.4646,-0.017837822,-0.008800988,0.06089929,-0.017279201,-0.008758701,0.060573114,-0.156669465,-0.078706628,0.079115812,-0.153533961,-0.07734324,0.077769576,-0.087576262,-0.036282807,0.019630652,55.35678119,0.352188652,73.95327564,0.41958078,74.36614285,0.420909084,3.27438188,2.821395044,1.61944275,3.273174919,2.820369549,1.618853416,0.089945587,0.045084488,0.045292797,0.088335771,0.044367815,0.04457318,0.011558764,0.006628841,0.006889461,16.13603839,0.06663612,21.21366888,0.070229367,21.34883203,0.070267421
binary_use_all_in_xQTL,horizontal,0.5,0,0.5,0.2,5,TRUE,0.1351,1.00E-04,0.0303,0,0.2484,0.088,0.2339,0.0705,0.2596,0.1071,0.1868,0.0698,0.2295,0.0862,0.2946,0.1244,0.3446,0.2192,0.0479,0.0022,0.0428,0.0014,0.049,0.0078,0.0424,0.0046,0.0429,0.0048,0.0992,0.0139,0.0816,0.0192,0.0459,0.0037,0.0167,0.0141,0.0348,0.017,0.017,0.0539,0.036,0.0016,9.00E-04,0.0608,0.0412,0.0035,0.0026,0.0127,0.0021,0.0031,0.0189,0.077039304,-0.070598909,-0.158844045,0.078627176,-0.071341363,-0.157046053,0.001121604,-0.064246594,-0.010656597,0.031267414,-0.116448379,-0.064710391,0.102847196,-0.105666642,-0.10499072,4.459046047,0.042822782,1.681155778,0.016632292,2.343454191,0.023008075,1.012505085,1.505568652,1.022794742,1.011527924,1.505048834,1.023777324,0.377271536,0.792965227,0.618754984,0.334807165,0.607182491,0.489963505,0.013145405,0.013466005,0.013305355,2.017465138,0.018451472,1.012877147,0.009799943,1.309259839,0.01248254
binary_use_all_in_xQTL,vertical,0.5,0,0.5,0.2,5,TRUE,0.1396,1.00E-04,0.0304,0,0.2709,0.1148,0.2516,0.0909,0.2649,0.1127,0.2703,0.115,0.2704,0.1169,0.2819,0.1236,0.3881,0.2714,0.059,0.0056,0.0481,0.0032,0.0553,0.0055,0.0574,0.0061,0.0576,0.0067,0.0746,0.0092,0.1236,0.0565,0.0587,0.0063,0.0408,0.0324,0.037,0.0434,0.0434,0.0569,0.1184,0.0101,0.006,0.0851,0.1193,0.0172,0.0132,0.0131,0.0184,0.0195,0.0789,-0.235993328,-0.026861473,-0.140591285,-0.236430102,-0.026599601,-0.138877639,-0.000781926,-0.001132405,0.002626929,-0.024220962,-0.006796447,0.00165136,-0.092545736,-0.030964906,5.11E-05,4.451794112,0.042756302,5.664331305,0.053729199,5.700860654,0.054055313,3.315578214,2.984702117,1.785144755,3.311658205,2.981663456,1.782636206,0.383972916,0.188161676,0.188198209,0.340846342,0.172771767,0.173484328,0.013923495,0.008654788,0.008996358,2.016245343,0.01842467,2.404674433,0.021449859,2.416593472,0.021546104
binary_use_all_in_xQTL,horizontal,1,0,0.5,0.2,5,TRUE,0.1381,1.00E-04,0.0308,0,0.2643,0.1088,0.2468,0.0866,0.2672,0.1176,0.2394,0.0963,0.261,0.1093,0.2921,0.1284,0.3748,0.2572,0.0516,0.0041,0.045,0.0025,0.0515,0.0082,0.047,0.0059,0.0501,0.0059,0.0914,0.0142,0.1027,0.0335,0.0511,0.0067,0.0426,0.0352,0.0535,0.038,0.038,0.0756,0.0947,0.0156,0.0112,0.1275,0.1147,0.0216,0.017,0.0348,0.0124,0.0149,0.0824,0.087973752,-0.006149278,-0.133511085,0.08855722,-0.006479996,-0.132914435,0.001132191,-0.00922908,0.005400794,0.008889188,-0.044422149,-0.015930387,0.093679264,-0.10361994,-0.100970043,14.75580841,0.12821034,3.701403524,0.035767452,6.392139487,0.060072686,0.89849286,1.244038436,0.931307106,0.898484562,1.243869934,0.930983631,0.178279965,0.468157977,0.311798159,0.171909169,0.381629693,0.277744495,0.012975079,0.01340003,0.013256427,5.117563537,0.038530513,1.950891078,0.018046974,2.884891117,0.02531349
binary_use_all_in_xQTL,vertical,1,0,0.5,0.2,5,TRUE,0.143,1.00E-04,0.0313,0,0.2773,0.1204,0.2581,0.0959,0.2767,0.1191,0.2775,0.1206,0.2775,0.1196,0.2827,0.1238,0.3925,0.2789,0.059,0.0073,0.0509,0.0043,0.058,0.0074,0.0593,0.0069,0.0588,0.0075,0.0668,0.0092,0.1309,0.0588,0.0593,0.0074,0.0613,0.0512,0.0603,0.0625,0.0625,0.0697,0.1445,0.0373,0.0283,0.1483,0.1651,0.04,0.031,0.0378,0.0417,0.0415,0.1134,-0.205365596,-0.030887388,-0.132389427,-0.205970462,-0.03064861,-0.13202505,-0.00091974,-0.000808249,0.001199057,-0.006913302,-0.002232653,0.0009841,-0.084214477,-0.027360941,5.73E-05,14.83526544,0.128836246,19.70833455,0.163857592,19.86245582,0.164905582,3.344504914,2.867449536,1.619918266,3.344781863,2.86746242,1.619629876,0.180552879,0.090034025,0.089976954,0.174294501,0.087626095,0.087729081,0.01370594,0.008280777,0.00849746,5.097024149,0.03831997,6.486610507,0.044810791,6.545913448,0.045100473
binary_use_all_in_xQTL,horizontal,2,0,0.5,0.2,5,TRUE,0.1379,1.00E-04,0.0283,0,0.2679,0.1143,0.2504,0.0912,0.2687,0.1181,0.2571,0.1103,0.2673,0.1158,0.2884,0.1281,0.383,0.266,0.0525,0.006,0.0454,0.0036,0.0532,0.0086,0.0502,0.0065,0.0527,0.0068,0.0847,0.0131,0.1149,0.0434,0.0531,0.0079,0.0559,0.0462,0.0596,0.0549,0.0549,0.0849,0.1245,0.0355,0.0276,0.1534,0.1556,0.037,0.0296,0.0434,0.0331,0.0339,0.1149,0.067781405,0.034870089,-0.08533913,0.067977705,0.034721626,-0.085124243,0.000895273,-0.002338371,0.00256891,0.002854627,-0.013691344,-0.003021272,0.069409392,-0.096255136,-0.087764006,55.87671397,0.353953547,11.76395745,0.104349648,22.61523689,0.182248018,0.747262548,0.90181624,0.788463887,0.74715623,0.901685175,0.788414418,0.087951649,0.22995601,0.149847841,0.086417687,0.205106674,0.141729942,0.012880182,0.013492064,0.013560805,16.70178741,0.068270677,5.372241275,0.042289254,8.6421629,0.056673634
binary_use_all_in_xQTL,vertical,2,0,0.5,0.2,5,TRUE,0.1427,1.00E-04,0.0327,0,0.2789,0.1209,0.2602,0.0973,0.2796,0.1212,0.2793,0.1207,0.2791,0.1219,0.2827,0.1234,0.3939,0.281,0.0592,0.0074,0.051,0.0048,0.0592,0.0075,0.0596,0.0076,0.0596,0.0075,0.0639,0.0084,0.1343,0.0601,0.0596,0.0075,0.0662,0.0569,0.0661,0.0658,0.0658,0.0699,0.1517,0.0492,0.0399,0.1643,0.1766,0.0481,0.0384,0.0476,0.0483,0.0485,0.1209,-0.2025555,-0.032259243,-0.133318398,-0.202620104,-0.032273153,-0.133263161,-0.000782103,-0.000477731,0.000576652,-0.002273377,-0.000831742,0.000523303,-0.062205336,-0.018790821,5.76E-05,56.42182357,0.356268949,75.96222183,0.425728296,76.57833308,0.427637766,3.395195323,2.880291594,1.636761419,3.395376514,2.880645799,1.63688751,0.089080657,0.044529007,0.044517371,0.087609064,0.043896247,0.043913057,0.013239468,0.007219271,0.007076329,16.68261193,0.067895168,22.12084443,0.071575235,22.33762654,0.071776763
binary_use_all_in_xQTL,horizontal,0.5,0.1,0.5,0.2,5,TRUE,0.1589,3.00E-04,0.0376,0,0.2755,0.1107,0.2559,0.0897,0.2878,0.1318,0.2154,0.088,0.243,0.0983,0.3167,0.1466,0.3724,0.2451,0.0611,0.003,0.0548,0.0019,0.0696,0.0123,0.0547,0.0069,0.0439,0.0054,0.1186,0.019,0.1016,0.0278,0.0593,0.0062,0.0273,0.0227,0.0548,0.0175,0.0175,0.0725,0.0524,0.0029,0.0022,0.0821,0.056,0.0061,0.0043,0.0191,0.0036,0.0019,0.0242,0.161374462,-0.000868914,-0.08335497,0.161938567,-0.001159481,-0.082337347,0.10783704,-0.236405101,0.162874744,0.122251584,-0.189495454,0.07042813,0.105407887,-0.087393445,-0.086007368,4.541594595,0.043576251,1.704806382,0.016862175,2.333549338,0.022912753,1.012105072,1.513217586,1.036930292,1.010837556,1.512781775,1.036639936,0.367025893,0.80202915,0.642277006,0.328589265,0.616510282,0.506833718,0.01308817,0.014159131,0.014140272,2.050277075,0.018717173,1.020664166,0.00987498,1.307546436,0.012470774
binary_use_all_in_xQTL,vertical,0.5,0.1,0.5,0.2,5,TRUE,0.1813,0,0.0444,0,0.3233,0.1572,0.3056,0.1322,0.3209,0.1573,0.3239,0.1579,0.3224,0.1559,0.3342,0.1653,0.4401,0.3235,0.0889,0.0146,0.0762,0.0084,0.0885,0.0146,0.0868,0.0151,0.0807,0.0142,0.1074,0.019,0.1748,0.0833,0.087,0.015,0.0706,0.0581,0.0678,0.0673,0.0673,0.0876,0.1628,0.0219,0.0153,0.1168,0.1624,0.0275,0.021,0.0245,0.03,0.0287,0.1013,-0.284306572,0.014220848,-0.047007316,-0.283913385,0.013256983,-0.047734706,-0.160185244,-0.08108303,0.082690714,-0.166949633,-0.081524155,0.077105476,-0.110716543,-0.04662624,0.019441219,4.467430093,0.042900224,5.638049118,0.053496125,5.659603913,0.053687496,3.160655481,2.726010112,1.561168575,3.15638153,2.720586779,1.557166678,0.37095003,0.185612476,0.187619393,0.333610484,0.170730762,0.173064109,0.013158692,0.00825747,0.008936589,2.019388332,0.018448178,2.391748939,0.021344853,2.401114556,0.021432776
